1650788380.8383,1650788352.0000,   -0.4975,    0.2833,   -0.0497,    0.0283,   -3.9800,   -2.2667
1650788380.8716,1650788352.0000,   -0.4975,    0.2792,    0.0000,   -0.0001,   -3.9800,   -2.2333
1650788380.9008,1650788352.0000,   -0.4942,    0.2792,    0.0001,    0.0000,   -3.9534,   -2.2333
1650788380.9302,1650788352.0000,   -0.4942,    0.2750,   -0.0000,   -0.0001,   -3.9534,   -2.2000
1650788380.9612,1650788352.0000,   -0.4975,    0.2792,   -0.0001,    0.0001,   -3.9801,   -2.2334
1650788380.9899,1650788352.0000,   -0.5008,    0.2792,   -0.0001,   -0.0000,   -4.0067,   -2.2333
1650788381.0224,1650788352.0000,   -0.5008,    0.2792,   -0.0000,   -0.0000,   -4.0067,   -2.2333
1650788381.0516,1650788352.0000,   -0.5042,    0.2792,   -0.0001,    0.0000,   -4.0333,   -2.2333
1650788381.0788,1650788352.0000,   -0.4975,    0.2792,    0.0001,   -0.0000,   -3.9800,   -2.2333
1650788381.1067,1650788352.0000,   -0.4908,    0.2708,    0.0001,   -0.0001,   -3.9267,   -2.1666
1650788381.1384,1650788352.0000,   -0.4809,    0.2750,    0.0002,    0.0001,   -3.8468,   -2.2000
1650788381.1664,1650788352.0000,   -0.4642,    0.2750,    0.0003,   -0.0000,   -3.7137,   -2.2000
1650788381.1980,1650788352.0000,   -0.4409,    0.2792,    0.0004,    0.0001,   -3.5273,   -2.2334
1650788381.2264,1650788352.0000,   -0.4276,    0.2792,    0.0002,   -0.0000,   -3.4209,   -2.2333
1650788381.2595,1650788352.0000,   -0.4043,    0.2833,    0.0004,    0.0001,   -3.2344,   -2.2667
1650788381.2947,1650788352.0000,   -0.3810,    0.2833,    0.0004,   -0.0000,   -3.0480,   -2.2667
1650788381.3316,1650788352.0000,   -0.3311,    0.2875,    0.0009,    0.0001,   -2.6484,   -2.3000
1650788381.3636,1650788352.0000,   -0.2978,    0.2875,    0.0006,   -0.0000,   -2.3824,   -2.3000
