1650788375.8182,  130.0000,  344.0000,  135.0000,  128.0000
1650788376.2661,  131.0000,  344.0000,  136.0000,  129.0000
1650788376.2863,  133.0000,  344.0000,  135.0000,  128.0000
1650788376.3023,  135.0000,  344.0000,  135.0000,  129.0000
1650788376.3170,  136.0000,  343.0000,  134.0000,  129.0000
1650788376.3292,  138.0000,  343.0000,  134.0000,  128.0000
1650788376.3418,  140.0000,  343.0000,  135.0000,  128.0000
1650788376.3574,  141.0000,  342.0000,  135.0000,  128.0000
1650788376.3703,  142.0000,  341.0000,  134.0000,  128.0000
1650788376.3859,  144.0000,  341.0000,  134.0000,  127.0000
1650788376.4007,  147.0000,  340.0000,  135.0000,  130.0000
1650788376.4139,  148.0000,  339.0000,  134.0000,  128.0000
1650788376.4285,  150.0000,  338.0000,  134.0000,  130.0000
1650788376.4491,  152.0000,  338.0000,  134.0000,  130.0000
1650788376.4619,  153.0000,  336.0000,  135.0000,  129.0000
1650788376.4767,  155.0000,  336.0000,  135.0000,  130.0000
1650788376.4965,  157.0000,  335.0000,  135.0000,  128.0000
1650788376.5088,  157.0000,  334.0000,  135.0000,  131.0000
1650788376.5253,  158.0000,  332.0000,  134.0000,  129.0000
1650788376.5460,  159.0000,  331.0000,  135.0000,  128.0000
1650788376.5583,  159.0000,  330.0000,  132.0000,  129.0000
1650788376.5774,  159.0000,  329.0000,  133.0000,  128.0000
1650788376.6012,  160.0000,  328.0000,  134.0000,  129.0000
1650788376.6152,  160.0000,  327.0000,  134.0000,  128.0000
1650788376.6317,  162.0000,  326.0000,  134.0000,  127.0000
1650788376.6492,  162.0000,  326.0000,  134.0000,  127.0000
1650788376.6666,  163.0000,  324.0000,  135.0000,  130.0000
1650788376.6868,  163.0000,  323.0000,  135.0000,  128.0000
1650788376.7108,  162.0000,  322.0000,  134.0000,  127.0000
1650788376.7320,  162.0000,  321.0000,  134.0000,  127.0000
1650788376.7524,  161.0000,  320.0000,  133.0000,  127.0000
1650788376.7694,  160.0000,  318.0000,  134.0000,  129.0000
1650788376.7840,  160.0000,  317.0000,  134.0000,  126.0000
1650788376.7992,  159.0000,  316.0000,  133.0000,  126.0000
1650788376.8154,  159.0000,  315.0000,  135.0000,  127.0000
